sent1	sent2	gold	preds	dif
Six children are cleaning a room.	"Two male children cleaning up leaves in a parking lot.
"	1.600000	0.845366	0.7546340000000001
Mayor says 14 dead in Texas fertilizer plant blast	"Rescuers search for survivors of Texas fertiliser plant blast
"	1.4	2.151558	0.7515580000000002
A girl in a riding hat on a horse.	"A girl riding a tan horse.
"	3.8	3.051575	0.7484249999999997
A man with a gray beard is being shaved in front of a lecture hall	"A man with a beard is sitting in the grass.
"	0.800000	1.547361	0.7473609999999999
Two dogs play in the grass.	"Two tan dogs play in the snow.
"	2.60	1.854055	0.7459450000000001
A white dog runs along a rocky shoreline.	"A dog jumps over a hurdle.
"	0.80	1.544977	0.744977
A woman is cracking eggs.	"A man is talking to a woman.
"	0.000	0.744865	0.744865
Tamerlan Tsarnaev buried in Virginia	"Boston bomb suspect buried in Virginia cemetery
"	3.00	2.2553419999999997	0.7446580000000003
Black and white cow standing near pile of snow.	"a black and white cow standing in the field.
"	3.2	2.456269	0.7437310000000004
There's not a lot you can do about that.	I really do not think there is much you can do about that.	5	4.257094	0.7429059999999996
If you are not sure how to do it, don't do it at all.	If not, don't do that and spend that time with something you like to do.	1	1.7426709999999999	0.7426709999999999
Polar bear DNA 'may help fight obesity'	"Polar bear study may boost fight against obesity
"	4.80	4.057343	0.7426569999999995
A man is dancing.	"A man is thinking.
"	1.200	0.45768000000000003	0.7423199999999999
Kiernan testified that Seifert had received a gunshot wound to the back.	"Seifert, he testified, had a gunshot wound in the back.
"	3.500	4.240058	0.7400580000000003
A black and tan dog standing in a field near trees	"A white dog is standing by a river shaking himself dry.
"	1.80	1.060391	0.739609
Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.	"Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.
"	2.000	1.2621280000000001	0.7378719999999999
You don't have to know.	Other than that you don't have a tax issue.	0	0.737437	0.737437
Philippines, Canada pledge to further boost relations	Philippines saves 100 after ferry sinks	0	0.732388	0.732388
Kodak expects earnings of 5 cents to 25 cents a share in the quarter.	"Analysts surveyed by Thomson First Call had expected Kodak to earn 68 cents a share for the quarter.
"	2.400	1.6677099999999998	0.7322900000000001
A young woman is putting stickers all over her face.	"A woman is applying stickers to her face.
"	4.800	4.068874	0.7311259999999997
It's also a matter of taste.	It's mostly a matter of taste.	5	4.269983	0.7300170000000001
Home office space with bright green walls and artwork.	"Small office space with bright green walls.
"	3.8	3.070364	0.7296359999999997
But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.	"China is scrambling to stop the disease from spreading to the countryside, where most of its 1.3 billion people live.
"	3.400	4.128753	0.7287529999999998
You just have to base your answer on what you do know, which is what you want.	So if that's what you need, you really do have to be explicit about it.	1	1.728702	0.728702
A woman is talking on a cell phone.	"A man and woman are talking on the phone.
"	3.000	2.271943	0.7280570000000002
Obama Struggles to Soothe Saudi Fears As Iran Talks Resume	Myanmar Struggles to Finalize Voter Lists for Sunday Polls	0	0.72801	0.72801
"""We are expending all available resources toward the investigation,"" said Assistant U.S. Attorney Todd Greenberg, a counterterrorism prosecutor in Seattle."	"""We are aware of the situation,"" said Assistant US Attorney Todd Greenberg, a counter-terrorism prosecutor in Seattle.
"	2.667	1.939903	0.7270969999999999
A man is kicking pots of water.	"A man is turning foods.
"	1.333	0.6066739999999999	0.726326
A black hooded man is using a large magnifying glass to look at a booklet.	"A white hooded woman is using a magnifying glass to look at a booklet.
"	2.800000	2.075661	0.7243389999999996
A tan and white dog retrieving a ball on a gravel path.	"A large dog walks along a gravel path in the woods.
"	2.00	2.718289	0.718289
A little girl in a white blouse and blue pants frolics on the grass.	"A woman in a green shirt and white pants golfs on the green.
"	1.800000	1.08302	0.71698
China sacks top economic official	"China FM hosts senior ASEAN officials
"	0.40	1.1167639999999999	0.7167639999999998
A group of horses grazing in a field.	"Group of horses grazing in grassy field.
"	4.8	4.083812	0.7161879999999998
To give this an answer:	I'll answer this question:	4	3.2877379999999996	0.7122620000000004
"I think we made the right case and did the right thing."""	"Mr Blair went on: ""I think we did the right thing in relation to Iraq.
"	2.769	2.058768	0.710232
Powerful quake strikes off eastern Indonesia	"6.6-mag quake strikes off eastern Indonesia
"	4.00	3.2910489999999997	0.7089510000000003
A shirtless woman is operating a lawn mower.	"A girl is mowing the grass with a lawn mower.
"	3.000000	2.291664	0.7083360000000001
That compared with a year-earlier profit of $102 million, or 13 cents a share.	"That was more than double the $102 million, or 13 cents a share, for the year-earlier quarter.
"	3.200	3.907179	0.707179
Initial autopsy reports show they died of dehydration, hyperthermia and suffocation.	"Two more died later, and initial autopsy reports show they succumbed to dehydration, hypothermia and suffocation.
"	3.250	3.956903	0.7069030000000001
Yes, there is a reason to not do what you propose.	Valid reasons to feel the way you do, but not a reason to resign.	2	1.293137	0.706863
The children are holding musical instruments.	"A group of children are singing and playing instruments
"	3.400000	2.693653	0.7063470000000001
A person is slicing some garlic.	"A person is dicing a clove of garlic with a knife.
"	3.750	4.454853	0.704853
Four people rowing down a river.	"Four people row a canoe in water.
"	4	3.2954120000000002	0.7045879999999998
Adding aspirin to the water could kill the plant.	"Men are trying to remove oil from a body of water.
"	0.000000	0.70292	0.70292
'Fast &amp; Furious' star Paul Walker dies in car crash	"Paul Walker dead: Fast and Furious star, 40, killed in car crash
"	4.80	4.097445	0.7025550000000003
Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.	"Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.
"	2.600	3.302257	0.7022569999999999
In other markets, U.S. Treasuries started off on Monday weaker, as stocks rose early.	"In other markets, U.S. Treasuries inched higher as declining stocks raised the appeal of safe-haven debt.
"	1.400	2.101138	0.7011380000000003
A man is playing the piano.	"A man played the guitar.
"	2.000	1.299863	0.700137
It depends on what you want to do next, and where you want to do it.	It depends on what you want to achieve.	3	2.3001110000000002	0.6998889999999998
A man pours rice into a pot.	"A man is putting rice in a bowling pot.
"	4.200	3.5001589999999996	0.6998410000000006
It depends on what they are.	It depends on what they are evaluating, and how.	2	2.699061	0.6990609999999999
"""But HRT should not be used to prevent heart disease or any other chronic condition."""	"""The clear message is it should not be used to prevent cardiovascular disease,"" Manson said.
"	2.600	3.2986839999999997	0.6986839999999996
A man in a black suit is surfing along a crashing wave.	"A surfer wearing a black wet suit is riding a a white wave in the ocean.
"	4.60	3.902574	0.6974259999999997
Syrian PM Survives Bomb Attack	"Syrian PM survives bomb attack in capital
"	3.8	4.497315	0.6973150000000006
A man is breaking wooden boards with his hand.	"A man is breaking tiles with his hands.
"	2.500	1.803605	0.6963950000000001
There are four people outside.	"Five people are outside.
"	3.000000	2.305741	0.6942590000000002
A woman is cutting some fish.	"A woman is cutting tofu.
"	2.200	1.505749	0.6942510000000002
Ukraine protest leaders name ministers, Russian troops on alert	"Ukraine Refuses to Act Against Russian 'Provocation'
"	1.20	1.892075	0.692075
A young laughing girl and a boy are playing on a big drum.	"A baby girl and little boy are standing next to a guitar and a drum.
"	2.40	3.091749	0.6917490000000002
Kyi, a U.N. envoy says, as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed.	"JAPAN added to growing international pressure on Burma yesterday, threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi.
"	3.000	3.6887879999999997	0.6887879999999997
An old fashioned wooden sailing ship in the ocean.	"An old fashioned wooden sailing ship is parked at the pier.
"	2.8	2.112664	0.6873359999999997
I'd say it primarily depends on two things:	I'd say it depends what conditions you have.	2	2.6861479999999998	0.6861479999999998
A black and white dog is running through the grass.	"A tan dog is walking through snow.
"	2.00	1.3144069999999999	0.6855930000000001
Someone is slicing an onion.	"A woman is cutting onion.
"	3.800	3.114936	0.6850639999999997
A woman is riding a horse.	"A man rides a horse.
"	2.800	2.115749	0.6842509999999997
The Senate agreed Tuesday to lift a 10-year-old ban on the research and development of low-yield nuclear weapons.	"Both the House and Senate bills would end the ban on research and development of low-yield nuclear weapons.
"	3.600	2.9171169999999997	0.6828830000000004
About 1,557 genes on chromosome 6 are thought to be functional.	"The remaining 1,557 genes are believed to be all functional.
"	2.750	3.43148	0.6814800000000001
Iran official: US visa denial to Iranian envoy will not affect nuke talks	"Iranian negotiator upbeat about latest nuclear talks
"	2.60	1.9190599999999998	0.6809400000000003
Three children playing in snow.	"Three children playing in hay
"	2.40	1.7195630000000002	0.6804369999999997
Black and white photo of a girl on a sofa.	"a black and white photo of a cow under a tree.
"	1.2	0.5207069999999999	0.679293
The curious boys look in the shed.	"Two small boys in a woody area looking at a shed.
"	2.8	3.478882	0.6788820000000002
A little boy hits a golf ball.	"The little boy swung at the golf ball.
"	4.000	3.32154	0.6784599999999998
Hurricane Isaac Moves Inland After Landfall	"Hurricane Isaac batters US coast near New Orleans
"	2.4	3.073634	0.6736340000000003
A man is playing the drums.	"A man is playing the guitar.
"	2.200	1.527288	0.6727120000000002
A boy is very close to a girl.	"A girl is close to a boy whose face is not shown.
"	3.200000	2.531513	0.6684870000000003
A man is playing a guitar.	"A woman is playing the guitar.
"	2.750	2.082826	0.6671740000000002
Cheap generics no panacea for India’s poorest	"Cheap cancer drugs no cure for India's poorest
"	3.8	3.134163	0.6658369999999998
A person dices up an orange pepper.	"The cook is slicing bell peppers.
"	1.800	2.465562	0.6655619999999998
A girl is playing guitar.	"A girl is playing a piano.
"	2.000	1.334845	0.6651549999999999
The consensus estimate of analysts polled by Thomson First Call called for a profit of $1.70 per share.	"Analysts polled by Reuters Research, a unit of Reuters Group Plc, on average forecast profit of $1.69 per share.
"	2.500	3.164118	0.6641180000000002
"The New York senator's new book, ""Living History,"" appears a certain bestseller."	"Hillary Clinton, the New York senator and former first lady, has a book out Monday titled Living History.
"	3.200	3.8633660000000005	0.6633660000000003
The giant rock was first observed on August 24 by Lincoln Near-Earth Asteroid Research Program, based in Socorro, New Mexico.	"The rock was first observed by the Lincoln Near Earth Asteroid Research Program, also known as LINEAR.
"	3.750	3.087095	0.6629049999999999
Asian stocks rise after Greek vote eases fears	"Oil rises after Greek election result
"	1.4	2.0625869999999997	0.6625869999999998
"""Jeremy's a good guy,"" Barber said, adding: ""Jeremy is living the dream life of the New York athlete."	"He also said Shockey is ""living the dream life of a New York athlete.
"	2.750	2.089846	0.6601539999999999
Older gentleman looking at red motorcycle.	"A man looking at a red motorcycle.
"	4	3.340119	0.6598809999999999
"According to SunnComm's Peter Jacobs, ""MediaMax performs exactly as 'advertised' to the companies who purchased it."	"""MediaMax performs EXACTLY as ""advertised"" to the companies who purchased it,"" Jacobs said in the statement.
"	4.222	3.562469	0.6595310000000003
A woman stands in front of a building in the snow.	"Two women and a baby pose in front of a dining room.
"	0	0.6593	0.6593
The American Express Corp. has pledged at least $3 million of more than $5 million needed.	"The city had requested federal funds, but withdrew that request when American Express pledged at least $3 million.
"	3.200	2.540932	0.659068
Several kids jump up and down on a trampoline.	"A man is doing back flips on a trampoline.
"	1.500	0.841413	0.658587
A man is slicing a tomato.	"A man is slicing a bun.
"	2.000	1.343257	0.6567430000000001
A lady mixed up a meat mixture in bowl.	"A woman is stirring meat in a bowl.
"	4.000	4.656492	0.6564920000000001
CIA chief visits Israel for Syria talks	"CIA chief in Israel to discuss situation in Syria
"	5.00	4.348658	0.6513419999999996
A small brown birds is eating from a bird feeder hanging from a tree.	"A small bird perches on the bird feeder hanging from the tree.
"	3.8	3.149352	0.6506479999999999
Two workers are sitting next to pipes eating lunch	"The construction workers are sitting down to eat lunch.
"	3.800000	3.151421	0.6485789999999998
The announcements were made at the International Broadcasting Convention (IBC) in Amsterdam.	"The submission was on Monday, but the announcement was made Friday at the International Broadcasting Convention in Amsterdam.
"	3.400	2.755523	0.6444769999999997
A man is playing the guitar and singing.	"A man sings with a guitar.
"	4.750	4.105596	0.6444039999999998
I've had this same problem.	I had this same situation.	3	3.6441190000000003	0.6441190000000003
A person wearing a helmet rides a bike near a white structure.	"A girl wearing black shorts and boots is standing next to a blue motorcycle.
"	1.2	0.557449	0.642551
I've had this same problem.	I had this problem before.	4	3.3574900000000003	0.6425099999999997
The dogs play in the snow on hind legs.	"Two dogs play in the snow.
"	3.80	3.157635	0.6423649999999999
Bangladesh collapse search over; death toll 1,127	"Bangladesh collapse deaths top 620
"	3.20	2.558661	0.6413390000000003
Syria agrees to surrender chemical weapons	UK's Cameron: Syria, Russia must show chemical arms proposal is genuine	2	2.638513	0.6385130000000001
But Odette is the first to form over the Caribbean Sea in December, the Center said.	"It is the first named storm to develop in the Caribbean in December.
"	4.200	3.5646089999999995	0.6353910000000007
If your long stay visa for Switzerland is valid, then you will not need a transit visa.	You do not need a transit visa, but to enter Zurich you will need a visa.	2	2.634602	0.6346020000000001
A small boy is building with some wooden blocks.	"A small boy wearing a blue shirt stacks wooden blocks.
"	4.00	3.365453	0.634547
Sculptor applying concrete to large statue of human figure standing with no head.	"A person is standing in front of a building holding aloft some plywood
"	0.200000	0.8344379999999999	0.6344379999999998
This is not a good idea.	Not a good idea.	5	4.366722	0.6332779999999998
Nobel Prize winning author Doris Lessing dies	"Nobel laureate Doris Lessing dies at 94
"	4.6	3.969751	0.6302489999999996
Annan to visit Syrian refugees in Turkey Tuesday	"Annan to visit Syrian refugees in Turkey before Iran
"	3.8	3.169784	0.6302159999999999
I'd say it primarily depends on two things:	I'd say it depends on the ultimate outcome you want?	2	2.630046	0.6300460000000001
Three people are by the water with yellow canoes.	"Three people preparing to canoe.
"	3	3.6289279999999997	0.6289279999999997
Shares of Mandalay closed down eight cents to $29.42, before the earnings were announced.	"Shares of Mandalay closed down 8 cents at $29.42 Thursday.
"	4.000	3.3725910000000003	0.6274089999999997
A man is singing and playing a guitar.	"A man is playing a guitar.
"	3.600	2.973366	0.6266340000000001
The Swedish central bank was also meeting on Wednesday and widely expected to announce a cut on Thursday.	"The Swedish central bank, also meeting on Wednesday, is widely expected to announce a cut on Thursday of as much as half a percentage point.
"	3.200	3.826315	0.626315
Two women give a demonstration at a Renaissance Fair.	"Two people are doing a demonstration at a renaissance fair.
"	4.200000	3.5763550000000004	0.6236449999999998
I would say you can do it, but it wouldn't be advised.	I would say it is impossible to know, so don't risk it.	2	1.377951	0.6220490000000001
More than 100 injured in Texas plant blast	Hundreds believed injured in Texas fertiliser plant blast	4	4.62183	0.6218300000000001
If you are not sure how to do it, don't do it at all.	If you do not have a very strong scientific reason to do it, don't.	2	2.621566	0.6215660000000001
A man is slicing open a fish.	"A man is cutting up a fish.
"	4.400	5.021393	0.6213929999999994
US drone strike kills 11 in Pakistan	"US drone kills 16 in Pakistan
"	3.20	2.579717	0.6202830000000001
You don't have to know.	You don't have to do anything to season it.	0	0.6179399999999999	0.6179399999999999
Some Syria violence amounts to civil war-Red Cross	"Some Syria violence qualifies as civil war -Red Cross
"	4.4	5.017341	0.6173409999999997
Brendsel and chief financial officer Vaughn Clarke resigned June 9.	"The company's chief executive retired and chief financial officer resigned.
"	2.600	3.215967	0.6159669999999999
Boy lies on stomach in grass.	"Small boy lying on his stomach on the grass.
"	4.40	5.014908	0.6149079999999998
Stocks rise in early trading	"US stocks ease in choppy trading
"	2	1.385874	0.614126
What kind of insulation is it?	What kind of floors are above?	0	0.613571	0.613571
Saudi Arabia gets a seat at the UN Security Council	"Saudi Arabia rejects seat on UN Security Council
"	2.80	2.1876130000000003	0.6123869999999996
Three children playing on a floor with toys.	"Three children sitting in floor playing with several toys.
"	4.20	4.812183999999999	0.6121839999999992
"Michael Bloomberg, NYC Mayor: ""I'm gonna try march with a number of different groups."	"""I'm going to try to march with a number of different groups,"" Bloomberg said.
"	3.750	4.362007	0.6120070000000002
A sheep beside a road and a lake.	"A sheep is on the edge of a road with a lake and a mountain in the background.
"	3	3.610982	0.6109819999999999
The two officers are driving	"Two officers are on horses.
"	2.200000	1.5893110000000001	0.610689
Three young men run, jump, and kick off of a Coke machine.	"Three men are jumping off a wall.
"	1.500	2.110673	0.6106729999999998
A light brown dog runs down a path happily.	"A pale dog runs down a path.
"	3.40	2.793658	0.6063419999999997
Reuters witnesses said many houses had been flattened and the city squares were packed with crying children and the homeless, huddled in blankets to protect them from the cold.	"Reuters witnesses said public squares were packed with crying children and people left homeless, huddled in blankets to protect them from the cold.
"	3.250	3.854768	0.604768
A New Castle County woman has become the first Delaware patient to contract the West Nile virus this year, the state's Department of Health reported.	"A 62-year-old West Babylon man has contracted the West Nile virus, the first human case in Suffolk County this year, according to the county health department.
"	1.500	2.1042520000000002	0.6042520000000002
A woman in a plaid outfit is looking through a bag of produce.	"This is the picture of a woman in a flowered dress, toting something in a bucket.
"	1.000000	1.6031870000000001	0.6031870000000001
A man is playing a ukulele.	"A man is sitting and playing a small guitar.
"	2.200	2.799209	0.5992089999999997
This is not a good idea.	But it is not a good idea.	5	4.400905000000001	0.5990949999999993
Algeria Mounts Military Operation to Rescue Al Qaeda Hostages	"Algeria mulls international force for hostages
"	2.2	2.798978	0.5989779999999998
The birds are swimming in the water.	"Birds fly low over water.
"	1.8	2.398641	0.598641
"""It''s absurd,"" Funny Cide's trainer Barclay Tagg said."	"Meanwhile, Funny Cide's trainer, Barclay Tagg, called the allegations ""ridiculous.""
"	3.600	4.197851999999999	0.5978519999999992
A man mixes vegetables in a pot.	"A person is stirring vegetables in a pot.
"	3.750	4.346989	0.5969889999999998
A man is holding a leaf.	"A monkey is fighting a man.
"	0.000	0.595939	0.595939
It depends on how it's used.	It depends on how long it's been out.	1	1.59479	0.5947899999999999
A polar bear is running towards a group of walruses.	"A polar bear is chasing a group of walruses.
"	4.200	4.794702	0.5947019999999998
The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.	"The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.
"	5.000	4.4053629999999995	0.5946370000000005
Two little girls talk on the telephone.	"Two couple are talking with each other.
"	1.200	1.7942240000000003	0.5942240000000003
Group of people posing with two men dressed as Elvis.	"A group of people standing with two other people dressed as Elvis.
"	4.2	4.794167	0.5941669999999997
A cheetah is running behind its prey.	"A cheetah chases prey on across a field.
"	4.400	3.806136	0.5938640000000004
It depends on the dish and how amenable it is at the stage you make the mistake.	It depends on the sauce and the result you want.	2	1.406842	0.5931580000000001
Unfortunately the answer to your question is we simply do not know.	If the conversation is not about work, you know what the answer is to your own question.	2	1.4071559999999999	0.5928440000000001
A group of people are wearing police uniforms conducting an arrest.	"A group of police officers are wearing protection.
"	2.800000	2.208169	0.591831
A young man wearing a striped shirt is holding two bicycles.	"Young redheaded man holding two bicycles near beach.
"	3.8	3.209018	0.5909819999999999
The Pentagon had hoped to retain control of the postwar effort, so the decision is a victory for Secretary of State Colin L. Powell.	"The Pentagon had hoped to retain control of the postwar effort, so the decision was seen by some insiders as a victory for Powell and the State Department.
"	3.667	4.255637	0.5886370000000003
Death toll 'rises to 17' after typhoon strikes Japan	"Death Toll Rises to 84 in Pakistan Floods
"	1.20	0.612592	0.5874079999999999
Funeral of Ian Paisley to take place in Belfast	Funeral of MH17 victim Liam Sweeney takes place in Newcastle	0	0.5867180000000001	0.5867180000000001
A young girl with dirt on her face and a red child's bike is in the background.	"The old woman in shorts and a white t-shirt is standing on a path watching children play.
"	0.800000	0.21377	0.58623
A yellow school bus parked in a field.	"A brown horse in a green field.
"	0	0.5843149999999999	0.5843149999999999
Man who battled Fukushima disaster dies of cancer	"Former plant chief who battled Fukushima disaster dies of cancer
"	3.4	3.9835019999999997	0.5835019999999997
A black and white cat is high up on tree branches.	"Black and white lamb with tag in right ear.
"	0.8	0.216685	0.583315
7 soldiers killed, 56 injured in PKK attack in eastern Turkey	"3 killed, 14 injured in attacks in Iraq
"	0.4	0.983281	0.5832809999999999
A man is pouring rice a roni into a pan.	"A man poured ric-a-roni into a pan.
"	3.800	3.217011	0.582989
Three children wrestle on a floral carpet.	"Three children playing on the floor.
"	3.80	3.217643	0.582357
Iran warns of spillover of possible war on Syria	"Iranian Delegation Heads to Lebanon, Syria
"	1.80	1.2184840000000001	0.5815159999999999
A dark brown horse standing in a field.	"A brown horse in a green field.
"	3.8	3.219533	0.5804669999999996
A young woman is riding a Bay hose in a dirt riding-ring.	"A man is staring at a horse with a white mane.
"	0.8	0.219689	0.580311
It later emerged that he had broken his right thigh and bones in his right wrist and elbow.	"Tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures.
"	4.000	3.4233620000000005	0.5766379999999995
Crowd of people walking past a giant mushroom.	"A group of four people walking past a giant mushroom.
"	4	3.424114	0.5758860000000001
Three bicyclists crossing a bridge in a city.	"The bicyclists are crossing a bridge in the rain.
"	3	2.424316	0.5756839999999999
How do you do that?	How should you do that?	4	4.57495	0.5749500000000003
Now you don't have to be perfect on every answer.	You don't have to know.	2	1.425345	0.5746549999999999
A black and white cow standing in hay looks back at the camera.	"There is a black and white sheep standing on the grass.
"	0.2	0.7703260000000001	0.5703260000000001
South Korean soldier reportedly flees after killing 5 comrades at border with North Korea	South Korean Soldier Kills Comrades And Flees	4	3.430142	0.569858
A steam engine and train moving toward the camera.	"A white sheep on a hillside looking at the camera.
"	1	0.430529	0.5694710000000001
There are three options:	There are only three options:	5	4.430809	0.569191
France warns of extremists benefiting from Egypt violence	"France fears extremists will benefit from Egypt violence
"	4.40	4.966559999999999	0.5665599999999991
A dog running on the grass	"Two dogs are running on the grass.
"	2.60	3.165525	0.565525
Yes, it is possible to publish a paper on model analysis.	Yes, it is hard to publish in a peer reviewed journal.	1	1.5654299999999999	0.5654299999999999
A girl is styling her hair.	"A girl is brushing her hair.
"	2.500	1.935961	0.564039
Gunmen kill nine people in northwest Pakistan	"Gunmen kill 3 policemen in Iraq
"	0.4	0.963392	0.563392
Pope canonizes 2 Palestinians	Sweden recognizes Palestinian state	0	0.562238	0.562238
News summary for March 11	"News summary for January 14
"	1.8	1.238518	0.561482
There are two things to consider:	A couple things to consider:	5	4.443675	0.5563250000000002
Shares of MONY were gaining $2.57, or 9%, to $31.90 in after-hours trading on Instinet.	"MONY shares rose 8.76 per cent to $31.90 in after-hours trading in New York.
"	3.250	2.6944619999999997	0.5555380000000003
No, you do not NEED a bread machine.	You do not need to worry.	0	0.5543399999999999	0.5543399999999999
The bishop told police he thought he had hit a dog or a cat or that someone had thrown a rock at his vehicle.	"Bishop O'Brien, aged 67, had told police he thought he had hit a dog or cat.
"	3.500	2.946028	0.5539719999999999
A dog is running through a pond	"A pale dog is running along a dirt path.
"	1.40	1.951603	0.5516030000000001
"The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, to Farida, a ""highly cosmopolitan and well-educated young woman""."	"The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, as an example of how JI uses marriage to grow.
"	3.400	2.848607	0.551393
US drone strike kills eight in Waziristan	US drone strike kills 11 in Pakistan	2	2.550807	0.5508069999999998
"""Tony's not feeling well,"" Spurs coach Gregg Popovich said."	"We're thrilled to be up 3-2,'' Coach Gregg Popovich said Wednesday.
"	1.600	1.049396	0.5506040000000001
The young woman is flirting with the young boy.	"The girl is young and cheery.
"	1.400000	0.851001	0.5489989999999999
You shouldn't feel any obligation at all.	You don't need sauce at all.	0	0.547511	0.547511
You just have to base your answer on what you do know, which is what you want.	It depends on what you want to do next, and where you want to do it.	1	1.546491	0.5464910000000001
A red and white bus drives down an England street.	"A red and white England bus drives down the street.
"	4.4	4.945139	0.5451389999999998
Researchers found the fossils in a semidesert area of Venezuela, about 250 miles west of Caracas.	"Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela.
"	3.750	3.205821	0.5441790000000002
WorldCom's accounting problems came to light early last year, and the company filed for bankruptcy in July 2002, citing massive accounting irregularities.	"WorldCom's financial troubles came to light last year and the company subsequently filed for bankruptcy in July, 2002.
"	3.857	4.399326	0.5423260000000001
A man breaks cinder blocks on another man.	"A woman breaks an egg into a pan.
"	0.800	0.2581	0.5419
"It is a national concern that will touch virtually every American,"" Abraham said."	"The impact of natural-gas shortages ""will touch virtually every American,"" Energy Secretary Spencer Abraham warned yesterday.
"	3.250	2.7104169999999996	0.5395830000000004
The security official's backup couldn't fill in because he was on active military duty, Strutt said.	"The security official's backup was on active duty, and the lottery association didn't have a replacement in New Jersey, Strutt said.
"	3.400	2.860705	0.5392950000000001
You might have to try a variety before you find one that clicks with him.	My advice would be to try a variety of coffees that you can afford and find one you like.	2	1.461892	0.538108
It depends on what you want to do next, and where you want to do it.	You need to pick how and where you want to place your foot and do it.	1	1.5374649999999999	0.5374649999999999
The AFL-CIO is waiting until October to decide if it will endorse a candidate.	"The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.
"	4.000	3.463243	0.5367570000000002
"""Saddam is gone, but we want the (U.S.) occupation to end,"" said Hit resident Abu Qasim."	"""Saddam is gone, but we want the (U.S.) occupation to end.""
"	3.200	2.663959	0.536041
two cats, one brown and one white laying on a bed with a blue blanket.	"Two cats, one ginger, the other white laying on a bed.
"	3.2	2.664326	0.5356740000000002
Several swimmers jump into the water.	"Swimmers are racing in a lake.
"	1.750	2.284605	0.534605
The new companies will begin trading on Nasdaq today under the ticker symbols PLMO and PSRC.	"Also as part of the deal, PalmSource stock will begin trading on the NASDAQ stock market Wednesday under the ticker symbol: PSRC.
"	2.750	3.2822940000000003	0.5322940000000003
A man is cutting a potato.	"A man is slicing some potato.
"	4.400	4.931879	0.531879
"A young boy jumping into a pool that says ""no diving""."	"A boy jumps into a pool while lifeguards watch.
"	3.20	2.668444	0.5315560000000001
She was the only woman in her unit and a member of Teamsters Local 995.	"She was the only woman employed as a warehouse worker and heavy equipment operator and the only woman in her Teamsters local.
"	3.250	2.721014	0.5289860000000002
Tokyo to host 2020 Games	"Tokyo wins race to host 2020 Olympic Games
"	4.80	4.271387	0.528613
A man is peeling a potato.	"A man is slicing a potato.
"	2.600	2.072309	0.5276909999999999
A man is putting garlic on some bread slices.	"A man is sprinkling seasoning on several split and buttered loaves of bread.
"	2.000	2.526891	0.526891
There are a few things you can do: 	There are a few things I think you should do.	3	3.526219	0.5262190000000002
An empty office cubicle.	"An empty office chair in a cubicle.
"	3	3.5261440000000004	0.5261440000000004
Local police authorities are treating the explosion as a criminal matter and nothing has been ruled out.	"Acting New Haven Police Chief Francisco Ortiz said police were treating the explosion as a criminal matter.
"	3.400	2.874691	0.525309
The dog plays in the park.	"The dog leaps over the fence in the park.
"	3.20	2.6757779999999998	0.5242220000000004
Two children splashing in the water.	"Two dolphins jumping into the water.
"	1.40	0.8762850000000001	0.5237149999999998
Black and white cows grazing in a pen.	"Two black and white cows drinking out of a pond.
"	1.6	2.1236770000000003	0.5236770000000002
A dog has a sweater on.	"A man in a suit jacket is sitting on a red couch with a cat.
"	0.600000	0.076329	0.523671
A man is playing a guitar.	"A woman is riding a horse.
"	0.500	-0.023545	0.523545
Two puppies playing with a plastic bag.	"Two dogs playing in a yard.
"	3.00	2.481968	0.5180319999999998
A group of people are sweeping water out of a house.	"People are sweeping water out of a house.
"	5.000	4.488857	0.5111429999999997
You should just ask your boss what he wants you to do.	You should listen to your boss, because you're not paid to tell the boss what to do.	2	2.510189	0.510189
"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions."	"Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.
"	3.800	3.290054	0.5099459999999998
Swimmers are racing in a lake.	"Women swimmers are diving in from the starting platform.
"	1.600	2.109668	0.509668
The two boys are playing kick ball back and forth to each other.	"The players are kicking each other while attempting to kick the ball.
"	3.000000	3.5088440000000003	0.5088440000000003
Ankeet Chavan granted conditional bail for marriage	"Ankeet Chavan granted bail to get married
"	4.4	4.908446	0.5084459999999993
